Cluster,SubCLuster,TruckType,Destination,operator,Part,Date
E4,E4,32 MA,6000,ANAND,SG2,6
E3,E3,32 MA,6200,ANAND,SG2,8
E3,E3,32 MA,6200,ANAND,SG1,1
E4,E4,32 MA,6000,ANAND,SG1,3
E4,E4,32 MA,6003,ANAND,SG2,10
E4,E4,32 MA,6003,ANAND,SG1,5
E4,E4,32 MA,6001,ANAND,SG2,7
E4,E4,32 MA,6001,ANAND,SG1,2
W3,W3,32 MA,7102,APML,SG1,4
W3,W3,32 MA,7103,APML,SG2,9
W3,W3,32 MA,7103,APML,SG1,1
W3,W3_1,32 MA,7000,APML,SG1,3
W3,W3,32 MA,7105,APML,SG2,6
W3,W3_1,32 MA,7000,APML,SG2,8
W3,W3,32 MA,7102,APML,SG2,10
S,S,32 MA,8150,COSMO,SG2,7
S,S,32 MA,4000,COSMO,SG1,5
S,S,32 MA,4003,COSMO,SG1,2
S,S,32 MA,8150,COSMO,SG1,4
S,S,32 MA,8150,COSMO,SG2,9
S,S,32 MA,4003,COSMO,SG2,6
S,S,32 MA,8300,COSMO,SG2,8
S,S,32 MA,8151,COSMO,SG1,1
S,S,32 MA,8151,COSMO,SG2,10
S,S,32 MA,4000,COSMO,SG2,7
S,S,32 MA,8153,COSMO,SG1,3
S,S,32 MA,8153,COSMO,SG2,9
N4,N4,32 MA,5002,COSMO,SG2,6
S,S,32 MA,8153,COSMO,SG1,5
S,S,32 MA,8300,COSMO,SG2,8
S,S,32 MA,8155,COSMO,SG1,2
S,S,32 MA,8155,COSMO,SG2,10
S,S,32 MA,8300,COSMO,SG2,7
S,S,32 MA,8300,COSMO,SG2,9
S,S,32 MA,8156,COSMO,SG1,4
S,S,32 MA,8156,COSMO,SG2,6
S,S,32 MA,8300,COSMO,SG2,8
S,S,32 MA,8300,COSMO,SG2,10
S,S,32 MA,8156,COSMO,SG1,1
S,S,32 MA,8251,COSMO,SG1,3
S,S,32 MA,8251,COSMO,SG2,7
S,S,32 MA,8300,COSMO,SG2,9
S,S,32 MA,8251,COSMO,SG1,5
S,S,32 MA,8251,COSMO,SG2,6
S,S,32 MA,8150,COSMO,SG2,8
S,S,32 MA,8150,COSMO,SG2,10
S,S,32 MA,8254,COSMO,SG1,2
S,S,32 MA,8150,COSMO,SG2,7
S,S,32 MA,8255,COSMO,SG1,4
S,S,32 MA,8255,COSMO,SG2,9
S,S,32 MA,8150,COSMO,SG2,6
S,S,32 MA,8255,COSMO,SG1,1
S,S,32 MA,8150,COSMO,SG2,8
S,S,32 MA,8150,COSMO,SG2,10
S,S,32 MA,7150,COSMO,SG2,7
S,S,32 MA,8257,COSMO,SG1,3
S,S,32 MA,8258,COSMO,SG1,5
S,S,32 MA,8258,COSMO,SG2,9
S,S,32 MA,8261,COSMO,SG1,2
S,S,32 MA,8300,COSMO,SG1,4
S,S,32 MA,4000,COSMO,SG2,6
S,S,32 MA,8300,COSMO,SG1,1
S,S,32 MA,8300,COSMO,SG2,8
S,S,32 MA,8300,COSMO,SG1,3
S,S,32 MA,8300,COSMO,SG2,10
S,S,32 MA,8300,COSMO,SG1,5
S,S,32 MA,8303,COSMO,SG1,2
S,S,32 MA,8305,COSMO,SG1,4
S,S,32 MA,8351,COSMO,SG1,1
S,S,32 MA,8352,COSMO,SG1,3
S,S,32 MA,400031,COSMO,SG1,5
S,S,32 MA,400031,COSMO,SG2,7
S,S,32 MA,400031,COSMO,SG1,2
S,S,32 MA,400031,COSMO,SG2,9
S,S,32 MA,400031,COSMO,SG1,4
S,S,32 MA,400060,COSMO,SG2,6
S,S,32 MA,400061,COSMO,SG2,8
S,S,32 MA,400310,COSMO,SG2,10
S,S,32 MA,400311,COSMO,SG2,7
S,S,32 MA,400348,COSMO,SG2,9
N4,N4,32 MA,5001,COSMO,SG1,1
S,S,32 MA,4000,COSMO,SG1,3
S,S,32 MA,4000,COSMO,SG1,5
